mes                 , febrero,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Hora                 ,lunes 13                 ,    martes 14       , miercoles 15    ,   jueves 16          , viernes 17           ,sabado 18            ,domingo 19,,,,,,,,,,,,
06:00:00 AM,,class- calculo integral (6.8 am),class- fisica (6-8 am),class- calculo integral (6.8 am),class- fisica (6-8 am),"info. II , study-homework (8:15-10 am)",,,,,,,,,,,,,
07:00:00 AM,study fisica,,,,,,,,,,,,,,,,,,
08:00:00 AM,,class- informatica II (8-10),english stdy/homework(8:30-10:45),class- informatica II (8-10),lineal stdy (8:5-10 am),,,,,,,,,,,,,,
09:00:00 AM,study lineal algebra (9:15-10:15 am),,,,,,,,      ,,,,,,,,,      , lab. infromatica
10:00:00 AM,,study linear algebra (10:15-12:15),,english stdy/homework(10-12),integral study (10:20-12:30 pm),,,,,,,,,,,,,,
11:00:00 AM,,,,,,study fisica(11-12 pm),,,,,,,,,,,,,
12:00:00 PM,,,,,,,,,,,,,,,,,,,
01:00:00 PM,,,lineal stdy (1-3 pm),lineal stdy (1-3 pm),laboratorio informatica II (1-4 pm),,,,,,,,,,,,,,
02:00:00 PM,study calculo integral,stydy calculo integral (2-4 pm),,,,,,,,,,,,,,,,,
03:00:00 PM,,,,integral study (3:15-5:15 pm),,,,,,,,,,,,,,,
04:00:00 PM,,,integral study (4-5:30 pm),,,,,,,,,,,,,,,,
05:00:00 PM,,,,,,,,,,,,,,,,,,,
06:00:00 PM,english study/homework,class- English V (6-8 pm),class- algebra lineal (6-8 pm),class- English V (6-8 pm),class- algebra lineal (6-8 pm),,,,,,,,,,,,,,
07:00:00 PM,,,,,,,,,,,,,,,,,,,
08:00:00 PM,,"info. II , study-homework (8:15-10 pm)","info. II , study-homework (8:15-10 pm)",study fisica(8-10 pm),"info. II , study-homework (8:15-10 pm)",,,,,,,,,,,,,,
09:00:00 PM,,,,,,,,,,,,,,,,,,,
10:00:00 PM,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
mes                 , febrero,,,,,,,,,,,,,,,,,,
Hora                 ,lunes 13                 ,    martes 14       , miercoles 15    ,   jueves 16          , viernes 17           ,sabado 18            ,domingo 19,,,,,,,,,,,,
06:00:00 AM,,class- calculo integral (6.8 am),class- fisica (6-8 am),class- calculo integral (6.8 am),class- fisica (6-8 am),"info. II , study-homework (8:15-10 am)",,,,,,,,,,,,,
07:00:00 AM,study fisica,,,,,,,,,,,,,,,,,,
08:00:00 AM,,class- informatica II (8-10),english stdy/homework(8:30-10),class- informatica II (8-10),lineal stdy (8:5-10 am),,,,,,,,,,,,,,
09:00:00 AM,study lineal algebra (9:15-10 am),,,,,,,,      ,,,,,,,,,      , lab. infromatica
10:00:00 AM,,study linear algebra (10:15-12:15),,english stdy/homework(10-11:30),integral study (10:20-12:30 pm),,,,,,,,,,,,,,
11:00:00 AM,,,,,,study fisica(11-12 pm),,,,,,,,,,,,,
12:00:00 PM,,,,,,,,,,,,,,,,,,,
01:00:00 PM,,,lineal stdy (1-2:30 pm),lineal stdy (1-2:30 pm),laboratorio informatica II (1-4 pm),,,,,,,,,,,,,,
02:00:00 PM,study calculo integral(2-3 pm),stydy calculo integral (2-4 pm),,,,,,,,,,,,,,,,,
03:00:00 PM,,,,integral study (3:15-5 pm),,,,,,,,,,,,,,,
04:00:00 PM,,,integral study (4-5:30 pm),,,,,,,,,,,,,,,,
05:00:00 PM,,,,,,,,,,,,,,,,,,,
06:00:00 PM,english study/homework(6-7:30 pm),class- English V (6-8 pm),class- algebra lineal (6-8 pm),class- English V (6-8 pm),class- algebra lineal (6-8 pm),,,,,,,,,,,,,,
07:00:00 PM,,,,,,,,,,,,,,,,,,,
08:00:00 PM,,"info. II , study-homework (8:15-10 pm)","info. II , study-homework (8:15-10 pm)",study fisica(8-9:40 pm),"info. II , study-homework (8:15-9:30 pm)",,,,      ,,,,,,,,,      , lab. infromatica
09:00:00 PM,,,,,,,,,,,,,,,,,,,
10:00:00 PM,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Hora                 ,lunes 13                 ,    martes 14       , miercoles 15    ,   jueves 16          , viernes 17           ,sabado 18            ,domingo 19,,,,,,,,,,,,
06:00:00 AM,,class- calculo integral (6.8 am),class- fisica (6-8 am),class- calculo integral (6.8 am),class- fisica (6-8 am),"info. II , study-homework (8:15-10 am)",,,,,,,,,,,,,
07:00:00 AM,study fisica,,,,,,,,,,,,,,,,,,
08:00:00 AM,,class- informatica II (8-10),english stdy/homework(8:30-10:45),class- informatica II (8-10),lineal stdy (8:5-10 am),,,,,,,,,,,,,,
09:00:00 AM,study lineal algebra (9:15-10:15 am),,,,,,,,,,,,,,,,,,
10:00:00 AM,,study linear algebra (10:15-12:15),,english stdy/homework(10-12),integral study (10:20-12:30 pm),,,,      ,,,,,,,,,      , lab. infromatica
11:00:00 AM,,,,,,study fisica(11-12 pm),,,,,,,,,,,,,
12:00:00 PM,,,,,,,,,,,,,,,,,,,
01:00:00 PM,,,lineal stdy (1-3 pm),lineal stdy (1-3 pm),laboratorio informatica II (1-4 pm),,,,,,,,,,,,,,
02:00:00 PM,study calculo integral,stydy calculo integral (2-4 pm),,,,,,,,,,,,,,,,,
03:00:00 PM,,,,integral study (3:15-5:15 pm),,,,,,,,,,,,,,,
04:00:00 PM,,,integral study (4-5:30 pm),,,,,,,,,,,,,,,,
